Date,US,EU,INDIA,JAPAN,VIX
2021-09-28,4352.6298828125,4058.820068359375,17748.599609375,30183.9609375,23.25
2021-09-29,4359.4599609375,4080.219970703125,17711.30078125,29544.2890625,22.559999465942383
2021-09-30,4307.5400390625,4048.080078125,17618.150390625,29452.66015625,23.139999389648438
2021-10-01,4357.0400390625,4035.300048828125,17532.05078125,28771.0703125,21.100000381469727
2021-10-04,4300.4599609375,3996.409912109375,17691.25,28444.890625,22.959999084472656
2021-10-05,4345.72021484375,4065.429931640625,17822.30078125,27822.119140625,21.299999237060547
2021-10-06,4363.5498046875,4012.64990234375,17646.0,27528.869140625,21.0
2021-10-07,4399.759765625,4098.33984375,17790.349609375,27678.2109375,19.540000915527344
2021-10-08,4391.33984375,4073.2900390625,17895.19921875,28048.939453125,18.770000457763672
2021-10-11,4361.18994140625,4072.52001953125,17945.94921875,28498.19921875,20.0
2021-10-12,4350.64990234375,4055.090087890625,17991.94921875,28230.609375,19.850000381469727
2021-10-13,4363.7998046875,4083.280029296875,18161.75,28140.279296875,18.639999389648438
2021-10-14,4438.259765625,4149.06005859375,18338.55078125,28550.9296875,16.860000610351562
2021-10-18,4486.4599609375,4151.39990234375,18477.05078125,29025.4609375,16.309999465942383
2021-10-19,4519.6298828125,4166.830078125,18418.75,29215.51953125,15.699999809265137
2021-10-20,4536.18994140625,4172.169921875,18266.599609375,29255.55078125,15.489999771118164
2021-10-21,4549.77978515625,4155.72998046875,18178.099609375,28708.580078125,15.010000228881836
2021-10-22,4544.89990234375,4188.81005859375,18114.900390625,28804.849609375,15.430000305175781
2021-10-25,4566.47998046875,4188.31005859375,18125.400390625,28600.41015625,15.239999771118164
2021-10-26,4574.7900390625,4223.97021484375,18268.400390625,29106.009765625,15.979999542236328
2021-10-27,4551.68017578125,4220.8798828125,18210.94921875,29098.240234375,16.979999542236328
2021-10-28,4596.419921875,4233.8701171875,17857.25,28820.08984375,16.530000686645508
2021-10-29,4605.3798828125,4250.56005859375,17671.650390625,28892.689453125,16.260000228881836
2021-11-01,4613.669921875,4280.47021484375,17929.650390625,29647.080078125,16.40999984741211
2021-11-02,4630.64990234375,4296.22021484375,17888.94921875,29520.900390625,16.030000686645508
2021-11-04,4680.06005859375,4333.33984375,17916.80078125,29794.369140625,15.4399995803833
2021-11-08,4701.7001953125,4352.52978515625,18068.55078125,29507.05078125,17.219999313354492
2021-11-09,4685.25,4344.6298828125,18044.25,29285.4609375,17.780000686645508
2021-11-10,4646.7099609375,4348.81982421875,18017.19921875,29106.779296875,18.729999542236328
2021-11-11,4649.27001953125,4358.0,17873.599609375,29277.859375,17.65999984741211
2021-11-12,4682.85009765625,4370.330078125,18102.75,29609.970703125,16.290000915527344
2021-11-15,4682.7998046875,4386.18994140625,18109.44921875,29776.80078125,16.489999771118164
2021-11-16,4700.89990234375,4401.490234375,17999.19921875,29808.119140625,16.3700008392334
2021-11-17,4688.669921875,4400.81005859375,17898.650390625,29688.330078125,17.110000610351562
2021-11-18,4704.5400390625,4383.7001953125,17764.80078125,29598.66015625,17.59000015258789
2021-11-22,4682.93994140625,4338.68994140625,17416.55078125,29774.109375,19.170000076293945
2021-11-24,4701.4599609375,4276.25,17415.05078125,29302.66015625,18.579999923706055
2021-11-26,4594.6201171875,4089.580078125,17026.44921875,28751.619140625,28.6200008392334
2021-11-29,4655.27001953125,4109.509765625,17053.94921875,28283.919921875,22.959999084472656
2021-11-30,4567.0,4063.06005859375,16983.19921875,27821.759765625,27.190000534057617
2021-12-01,4513.0400390625,4179.14990234375,17166.900390625,27935.619140625,31.1200008392334
